"","grCat","grSum","spCat","genspDf$spCat"
"25","column",50,"Isopora (74%): Porites (14%): Stylophora (4%): Goniastrea (2%): Leptoria (2%): Pavona (2%): Psammocora (2%)","Isopora palifera (72.5%): Porites NA (9.8%): Porites vaughani (3.9%): Stylophora pistillata (3.9%): Goniastrea stelligera (2%): Leptoria phrygia (2%): NA NA (2%): Pavona duerdeni (2%): Psammocora digitata (2%)"
"26","",42,"Acropora (40.5%): Isopora (28.6%): Tridacna (7.1%): Galaxea (4.8%): Montipora (4.8%): Pocillopora (4.8%): Porites (4.8%): Stylophora (4.8%)","Acropora NA (31.9%): Isopora palifera (25.5%): NA NA (10.6%): Tridacna NA (6.4%): Porites NA (4.3%): Stylophora pistillata (4.3%): Acropora minuta (2.1%): Acropora valida (2.1%): Galaxea fascicularis (2.1%): Galaxea NA (2.1%): Montipora informis (2.1%): Montipora NA (2.1%): Pocillopora damicornis (2.1%): Pocillopora NA (2.1%)"
"27","branching bush medium",45,"Acropora (86.7%): Pocillopora (13.3%)","Acropora NA (83%): Pocillopora damicornis (12.8%): NA NA (4.3%)"
"28","column/massive",39,"Porites (66.7%): Coeloseris (10.3%): Goniastrea (10.3%): Favites (5.1%): Goniopora (2.6%): Leptoria (2.6%): Platygyra (2.6%)","Porites NA (52.2%): NA NA (15.2%): Coeloseris mayeri (8.7%): Goniastrea stelligera (6.5%): Favites micropentagonus (2.2%): Favites NA (2.2%): Goniastrea retiformis (2.2%): Goniopora tenuidens (2.2%): Leptoria phrygia (2.2%): Platygyra NA (2.2%): Porites rus (2.2%): Porites vaughani (2.2%)"
"29","phaceloid/sheet",44,"Galaxea (100%)","Galaxea fascicularis (75%): Galaxea astreata (22.7%): Galaxea NA (2.3%)"
"30","blade stout",41,"Isopora (95.1%): Pocillopora (2.4%): Stylophora (2.4%)","Isopora cuneata (68.3%): Isopora palifera (26.8%): Pocillopora damicornis (2.4%): Stylophora pistillata (2.4%)"
"31","?",35,"Acropora (65.7%): Isopora (11.4%): Stylophora (11.4%): Hydnophora (5.7%): Galaxea (2.9%): Turbinaria (2.9%)","Acropora NA (57.9%): Isopora palifera (10.5%): Stylophora pistillata (10.5%): NA NA (7.9%): Hydnophora exesa (5.3%): Acropora monticulosa (2.6%): Galaxea fascicularis (2.6%): Turbinaria NA (2.6%)"
"32","blade/branching stout ",36,"Isopora (100%)","Isopora palifera (100%)"
"33","branching thin-medium",33,"Pocillopora (57.6%): Acropora (42.4%)","Pocillopora damicornis (54.3%): Acropora NA (34.3%): NA NA (5.7%): Acropora nasuta (2.9%): Acropora valida (2.9%)"
"34","submassive",31,"Montipora (32.3%): Porites (16.1%): Favites (9.7%): Astra (6.5%): Favia (6.5%): Isopora (6.5%): Stylophora (6.5%): Coelastrea (3.2%): Cyphastrea (3.2%): Goniastrea (3.2%): Hydnophora (3.2%): Platygyra (3.2%)","Montipora NA (11.8%): NA NA (8.8%): Astra NA (5.9%): Favia NA (5.9%): Favites NA (5.9%): Isopora palifera (5.9%): Porites annae (5.9%): Porites NA (5.9%): Stylophora pistillata (5.9%): Coelastrea aspera (2.9%): Cyphastrea microphthalma (2.9%): Favites pentagona (2.9%): Goniastrea stelligera (2.9%): Hydnophora microconos (2.9%): Montipora calcarea (2.9%): Montipora effusa (2.9%): Montipora foveolata (2.9%): Montipora informis (2.9%): Montipora mollis (2.9%): Montipora turgescens (2.9%): Platygyra daedalea (2.9%): Porites solida (2.9%)"
"35","branching bush",25,"Acropora (92%): Pocillopora (4%): Stylophora (4%)","Acropora NA (68.8%): NA NA (21.9%): Acropora digitifera (3.1%): Pocillopora damicornis (3.1%): Stylophora pistillata (3.1%)"
"36","blade/column",26,"Isopora (96.2%): Stylophora (3.8%)","Isopora palifera (96.2%): Stylophora pistillata (3.8%)"
"37","branching fine",23,"Seriatopora (52.2%): Acropora (39.1%): Galaxea (8.7%)","Acropora NA (37.5%): Seriatopora NA (29.2%): Seriatopora hystrix (20.8%): Galaxea NA (8.3%): NA NA (4.2%)"
"38","plate/vase",19,"Acropora (100%)","Acropora hyacinthus (45.8%): NA NA (20.8%): Acropora digitifera (16.7%): Acropora NA (16.7%)"
"39","branching/plate",19,"Acropora (89.5%): Galaxea (5.3%): Goniastrea (5.3%)","Acropora NA (68.2%): NA NA (13.6%): Acropora digitifera (4.5%): Acropora hyacinthus (4.5%): Galaxea astreata (4.5%): Goniastrea stelligera (4.5%)"
"40","encrusting/massive",17,"Porites (41.2%): Montipora (23.5%): Favites (11.8%): Cyphastrea (5.9%): Favia (5.9%): Goniastrea (5.9%): Hydnophora (5.9%)","Porites NA (30%): Montipora NA (15%): NA NA (15%): Favites flexuosa (10%): Cyphastrea serailia (5%): Favia NA (5%): Goniastrea edwardsi (5%): Hydnophora exesa (5%): Montipora informis (5%): Porites lichen (5%)"
"41","solitary",15,"Fungi (40%): Fungia (20%): Ctenactis (13.3%): Pleuractis (13.3%): Cycloseris (6.7%): Galaxea (6.7%)","Fungi NA (31.6%): NA NA (21.1%): Fungia fungites (15.8%): Ctenactis NA (10.5%): Pleuractis paumotensis (10.5%): Cycloseris NA (5.3%): Galaxea astreata (5.3%)"
"42","blade/branching stout",18,"Isopora (100%)","Isopora palifera (100%)"
"43","branching arborescent medium",18,"Acropora (100%)","Acropora robusta (83.3%): Acropora NA (16.7%)"
"44","cuneiform:cuneiform",18,"Isopora (88.9%): Acropora (11.1%)","Isopora palifera (55.6%): Isopora NA (27.8%): Acropora NA (11.1%): Isopora cuneata (5.6%)"
"45","plate thick",13,"Acropora (100%)","Acropora NA (29.4%): Acropora digitifera (23.5%): Acropora hyacinthus (23.5%): NA NA (23.5%)"
"46","blade/encrusting base",16,"Isopora (100%)","Isopora palifera (100%)"
"47","encrusting base",16,"Isopora (100%)","Isopora palifera (100%)"
